sample_name	condition
mDC_T_CIS_C	mDC_T_CIS
mDC_T_CIS_D	mDC_T_CIS
mDC_T_CIS_E	mDC_T_CIS
mDC_T_PBS_B_merge	mDC_T_PBS
mDC_T_PBS_D_merge	mDC_T_PBS
mDC_T_PBS_E_merge	mDC_T_PBS
mDC_WT_PBS_B	mDC_WT_PBS
mDC_WT_CIS_A	mDC_WT_CIS
mDC_WT_CIS_B	mDC_WT_CIS
mDC_WT_CIS_C	mDC_WT_CIS
mDC_WT_PBS_C	mDC_WT_PBS
mDC_WT_PBS_D	mDC_WT_PBS
rDC_T_CIS_C	rDC_T_CIS
rDC_T_CIS_D	rDC_T_CIS
rDC_T_CIS_E	rDC_T_CIS
rDC_T_PBS_B	rDC_T_PBS
rDC_T_PBS_D	rDC_T_PBS
rDC_T_PBS_E	rDC_T_PBS
rDC_WT_PBS_B_merge	rDC_WT_PBS
rDC_WT_CIS_A	rDC_WT_CIS
rDC_WT_CIS_B	rDC_WT_CIS
rDC_WT_CIS_C	rDC_WT_CIS
rDC_WT_PBS_C_merge	rDC_WT_PBS
rDC_WT_PBS_D_merge	rDC_WT_PBS
