sample_name	condition
WT-CIS-A-R10_S21	LN-CIS_MSM
WT-CIS-B-R10_S1	LN-CIS_MSM
WT-CIS-C-R10_S4	LN-CIS_MSM
WT-CIS-A-R11_S16	LN-CIS_SSM
WT-CIS-B-R11_S1	LN-CIS_SSM
WT-CIS-C-R11_S8	LN-CIS_SSM
WT-MSM-B_S5	LN-PBS_MSM
WT-MSM-C_S12	LN-PBS_MSM
WT-MSM-D_S4	LN-PBS_MSM
WT-SSM-B_S3	LN-PBS_SSM
WT-SSM-C_S8	LN-PBS_SSM
WT-SSM-D_S2	LN-PBS_SSM
Tumor-CIS-C-R10_S9	TDLN-CIS_MSM
Tumor-CIS-D-R10_S20	TDLN-CIS_MSM
Tumor-CIS-E-R10_S6	TDLN-CIS_MSM
Tumor-CIS-C-R11_S17	TDLN-CIS_SSM
Tumor-CIS-D-R11_S7	TDLN-CIS_SSM
Tumor-CIS-E-R11_S2	TDLN-CIS_SSM
Tumor-PBS-B-R10_S18	TDLN-PBS_MSM
Tumor-PBS-D-R10_S15	TDLN-PBS_MSM
Tumor-PBS-E-R10_S5	TDLN-PBS_MSM
Tumor-PBS-B-R11_S3	TDLN-PBS_SSM
Tumor-PBS-D-R11_S22	TDLN-PBS_SSM
Tumor-PBS-E-R11_S7	TDLN-PBS_SSM
MSM_LN_CIS1_S4	LN-CIS_MSM
MSM_LN_CIS2_S5	LN-CIS_MSM
MSM_LN_CIS3_S6	LN-CIS_MSM
MSM_LN_PBS1_S1	LN-PBS_MSM
MSM_LN_PBS2_S2	LN-PBS_MSM
MSM_LN_PBS3_S3	LN-PBS_MSM
MSM_TDLN_CIS1_S11	TDLN-CIS_MSM
MSM_TDLN_CIS2_S12	TDLN-CIS_MSM
MSM_TDLN_CIS3_S13	TDLN-CIS_MSM
MSM_TDLN_PBS_A_S7	TDLN-PBS_MSM
MSM_TDLN_PBS_B_S8	TDLN-PBS_MSM
MSM_TDLN_PBS_C_S9	TDLN-PBS_MSM
MSM_TDLN_PBS_D_S10	TDLN-PBS_MSM
SSM_LN_CIS1_S24	LN-CIS_SSM
SSM_LN_CIS2_S25	LN-CIS_SSM
SSM_LN_CIS3_S26	LN-CIS_SSM
SSM_LN_PBS1_S21	LN-PBS_SSM
SSM_LN_PBS2_S22	LN-PBS_SSM
SSM_LN_PBS3_S23	LN-PBS_SSM
SSM_TDLN_CIS1_S14	TDLN-CIS_SSM
SSM_TDLN_CIS2_S15	TDLN-CIS_SSM
SSM_TDLN_CIS3_S16	TDLN-CIS_SSM
SSM_TDLN_PBS_A_S17	TDLN-PBS_SSM
SSM_TDLN_PBS_B_S18	TDLN-PBS_SSM
SSM_TDLN_PBS_C_S19	TDLN-PBS_SSM
SSM_TDLN_PBS_D_S20	TDLN-PBS_SSM
